title,company,location,posted,salary,apply_link,source,nigeria_relevant,description
Frontend Developer (React) at Tezza Business Solutions Limited,Tezza Business Solutions Ltd,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
Frontend Developer (Angular / React),Tezza Business Solutions Ltd,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
Senior Frontend Engineer (React),Moniepoint Group,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
UI / UX Developer at Byteworks Technology Solutions Limited,ByteWorks Technology Solutions,Nigeria,,,,linkedin,True,
"UI Developer (Junior, Intermediate, Specialist, and Consultant)",GVA Partners Ltd,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
Full Stack Developer at Innov8 Hub,Innov8 Hub,Nigeria,,,,linkedin,True,
Java Front End Developer at Uridium Technologies,Uridium Technologies,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
Full Stack Developer,Bowmenn,"Abuja, Federal Capital Territory, Nigeria",,,,linkedin,True,
Website Programmer at Trading Partner Limited,Trading Partner Ltd.,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
"UI/UX Engineer (Junior, Intermediate, Specialist, and Consultant)",GVA Partners Ltd,Nigeria,,,,linkedin,True,
Web Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Front End Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Fullstack Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Remote Full-Stack Developer,Turing,Nigeria,,,,linkedin,True,
Full Stack Developer | $80/hr Remote,Crossing Hurdles,Nigeria,,,,linkedin,True,
Full-Stack Software Engineer | $90/hr Remote,Crossing Hurdles,Nigeria,,,,linkedin,True,
Remote Fullstack Engineer,Turing,Nigeria,,,,linkedin,True,
Supply &amp; Logistics Coordinator,Nabu Casa,Remote,2026-06-10T19:58:38+00:00,,https://remoteOK.com/remote-jobs/remote-supply-amp-logistics-coordinator-nabu-casa-1133208,remoteok,False,"<strong>About Nabu Casa<br><br></strong>Nabu Casa is the organisation behind Home Assistant, the world's largest free and open-source smart home platform used by over two million households. We were founded to ensure the project's sustainability, and in 2024, we partnered with the Open Home Foundati"
